day,hour,operation
9,01:17,перешел в status CANCELED
9,01:18,запустил test
9,01:18,запустил test
9,01:18,запустил test
9,01:18,стартовал grafana
9,01:20,стартовал grafana
9,01:22,стартовал grafana
9,01:24,перешел в status TEST_STOPPING
9,01:24,перешел в status CANCELED
9,01:24,перешел в status CANCELED
9,01:24,перешел в status TEST_STOPPING
9,01:24,перешел в status TEST_STOPPING
9,01:24,перешел в status CANCELED
9,01:25,запустил test
9,01:25,запустил test
9,01:25,запустил test
9,01:25,стартовал grafana
9,01:25,стартовал grafana
9,01:27,стартовал grafana
9,01:30,перешел в status TEST_STOPPING
9,01:30,перешел в status CANCELED
9,01:30,перешел в status TEST_STOPPING
9,01:30,перешел в status CANCELED
9,01:30,перешел в status TEST_STOPPING
9,01:30,перешел в status CANCELED
9,01:32,запустил test
9,01:32,запустил test
9,01:32,запустил test
9,01:32,стартовал grafana
9,01:33,стартовал grafana
9,01:36,стартовал grafana
9,01:38,перешел в status TEST_STOPPING
9,01:38,перешел в status CANCELED
9,01:39,запустил test
9,01:41,стартовал grafana
9,01:48,перешел в status TEST_STOPPING
9,01:48,перешел в status CANCELED
9,01:49,перешел в status TEST_STOPPING
9,01:49,перешел в status CANCELED
9,01:49,перешел в status TEST_STOPPING
9,01:49,перешел в status CANCELED
9,01:50,запустил test
9,01:50,запустил test
9,01:50,запустил test
9,01:52,стартовал grafana
9,01:52,стартовал grafana
9,01:52,стартовал grafana
9,01:54,перешел в status TEST_STOPPING
9,01:54,перешел в status CANCELED
9,01:54,перешел в status TEST_STOPPING
9,01:54,перешел в status CANCELED
9,01:54,перешел в status TEST_STOPPING
9,01:54,перешел в status CANCELED
9,01:56,запустил test
9,01:56,запустил test
9,01:56,запустил test
9,01:57,стартовал grafana
9,01:57,стартовал grafana
9,01:57,стартовал grafana
9,02:00,перешел в status TEST_STOPPING
9,02:00,перешел в status CANCELED
9,02:00,перешел в status TEST_STOPPING
9,02:00,перешел в status CANCELED
9,02:00,перешел в status TEST_STOPPING
9,02:00,перешел в status CANCELED
9,02:01,запустил test
9,02:01,запустил test
9,02:01,запустил test
9,02:01,стартовал grafana
9,02:01,стартовал grafana
9,02:01,стартовал grafana
9,02:04,перешел в status TEST_STOPPING
9,02:04,перешел в status CANCELED
9,02:05,перешел в status TEST_STOPPING
9,02:05,перешел в status CANCELED
9,02:05,перешел в status TEST_STOPPING
9,02:05,перешел в status CANCELED
9,02:05,запустил test
9,02:05,запустил test
9,02:05,запустил test
9,02:06,стартовал grafana
9,02:07,стартовал grafana
9,02:08,стартовал grafana
9,02:27,перешел в status FINISHED
9,02:29,перешел в status FINISHED
9,02:29,перешел в status FINISHED
9,02:31,запустил test
9,02:35,стартовал grafana
9,02:40,перешел в status TEST_STOPPING
9,02:40,перешел в status CANCELED
9,02:40,запустил test
9,02:40,запустил test
9,02:40,запустил test
9,02:42,стартовал grafana
9,02:42,стартовал grafana
9,02:42,стартовал grafana
9,02:46,перешел в status TEST_STOPPING
9,02:46,перешел в status CANCELED
9,02:46,перешел в status TEST_STOPPING
9,02:46,перешел в status CANCELED
9,02:46,перешел в status TEST_STOPPING
9,02:46,перешел в status CANCELED
9,02:47,запустил test
9,02:47,запустил test
9,02:47,запустил test
9,02:51,стартовал grafana
9,02:51,стартовал grafana
9,02:51,стартовал grafana
9,02:54,перешел в status TEST_STOPPING
9,02:54,перешел в status CANCELED
9,02:54,перешел в status TEST_STOPPING
9,02:54,перешел в status CANCELED
9,02:54,перешел в status TEST_STOPPING
9,02:54,перешел в status CANCELED
9,02:57,запустил test
9,02:57,запустил test
9,02:57,запустил test
9,02:57,запустил test
9,03:00,стартовал grafana
9,03:00,стартовал grafana
9,03:00,стартовал grafana
9,03:00,стартовал grafana
9,03:02,запустил test
9,03:02,перешел в status TEST_STOPPING
9,03:02,перешел в status CANCELED
9,03:02,перешел в status TEST_STOPPING
9,03:02,перешел в status CANCELED
9,03:02,перешел в status TEST_STOPPING
9,03:02,перешел в status CANCELED
9,03:02,перешел в status TEST_STOPPING
9,03:02,перешел в status CANCELED
9,03:04,запустил test
9,03:04,запустил test
9,03:04,запустил test
9,03:04,стартовал grafana
9,03:04,запустил test
9,03:06,стартовал grafana
9,03:06,стартовал grafana
9,03:06,стартовал grafana
9,03:07,стартовал grafana
9,03:09,перешел в status TEST_STOPPING
9,03:09,перешел в status CANCELED
9,03:09,перешел в status TEST_STOPPING
9,03:09,перешел в status CANCELED
9,03:09,перешел в status TEST_STOPPING
9,03:09,перешел в status CANCELED
9,03:09,перешел в status TEST_STOPPING
9,03:09,перешел в status CANCELED
9,03:11,запустил test
9,03:11,запустил test
9,03:11,запустил test
9,03:11,запустил test
9,03:11,стартовал grafana
9,03:11,стартовал grafana
9,03:11,стартовал grafana
9,03:11,стартовал grafana
9,03:14,перешел в status TEST_STOPPING
9,03:14,перешел в status CANCELED
9,03:14,перешел в status TEST_STOPPING
